gene_name	Control_Rep.A	Control_Rep.B	Control_Rep.C	Treat1_Rep.A	Treat1_Rep.B	Treat1_Rep.C	Treat2_Rep.A	Treat2_Rep.B	Treat2_Rep.C	Treat3_Rep.A	Treat3_Rep.B	Treat3_Rep.C	Control_Mean	Treat1_Mean	Treat2_Mean	Treat3_Mean	fc_treat1	fc_treat2	fc_treat3
C7_01030C_A	1496	2510.999994	2849.999992	2769.999998	918.9999998	1007	1854.999998	1880.999995	1916.999998	876.9999997	988.0000003	1117.999998	2285.666673	1565.333331	1884.333332	994.3333336	-0.54614512	-0.27856083	-1.200813548
C7_01040C_A	711.0000002	697.9999999	818	1319.000001	1402.999996	1473.000005	4059.999994	4170.000005	4074.999989	2275.999996	2280.000001	2949.000006	742.3333333	1398.333329	4101.666676	2501.666674	0.913569248	2.466071198	1.752750518
C7_01050W_A	94.99999998	87.00000001	123	92	53.00000002	53.00000002	209	186	290	62.99999998	60.00000002	74.99999997	101.6666667	65.99999998	228.3333333	65.99999998	-0.623308813	1.167294745	-0.623308813
C7_01060W_A	2	1	3.000000001	3.000000001	3.000000001	2	8	8.999999997	12	3.000000001	1	5	2	2.666666666	9.666666664	3.000000001	0.415037499	2.273018494	0.584962501
C7_01070C_A	2134.999993	1248.999999	2296.999998	690.0000002	1445.000003	951.9999998	2307.000002	2566.999999	1993.999994	2505.000003	2240.999995	2250.999998	1893.666671	1029.000002	2289.333328	2332.33334	-0.87993942	0.27374513	0.30059159
C7_01100C_A	96.99999999	161	123	257.9999999	292	250.0000001	213	239	178	303.9999999	352.0000001	397	127	266.6666667	210	350.9999999	1.070209002	0.725560831	1.466642533
C7_01130C_A	1	1	1	1	3.000000001	2	6.000000001	11	2	2	1	2	1	2	6.333333335	1.666666666	1	2.662965013	0.736965594
C7_01150W_A	956	580.9999998	1044.000002	466.0000001	543.0000001	538.0000002	5001.000001	5099.999994	3932.00001	796.0000003	898.0000002	704.0000002	860.3333331	515.6666668	4677.666658	799.3333335	-0.738456944	2.442821415	-0.106098482
C7_01160C_A	1518.999995	1713.000005	1924.999999	1194.999998	976.0000003	1118.999999	927.0000002	909.9999999	1515.000002	1204.999999	1133.999996	1452.000002	1719.000001	1096.666668	1117.333331	1263.666666	-0.64844446	-0.6215099	-0.44395359
C7_01170C_A	69.00000001	129	98.99999999	570	92	92	216	235.9999999	898.0000002	137	138	89	98.99999999	251.3333332	449.9999999	121.3333333	1.344101592	2.184424571	0.293475519
C7_01180W_A	625.0000002	592.0000002	629.9999998	678.9999999	522.0000002	435.0000001	1327.999999	1340.999998	931.0000003	840.9999999	996	732.9999999	615.6666666	545.3333332	1200	856.6666665	-0.175011118	0.96281304	0.476584493
C7_01190W_A	738.9999999	632.9999998	715.0000002	649	337	411.9999999	626	638.0000001	938.0000003	1069.999999	962.0000002	1193.999999	695.6666669	466.0000001	734.0000001	1075.333332	-0.57806624	0.077383868	0.628315835
C7_01200C_A	823.9999999	1137.999998	1208.000001	1109.999999	359	421	1242.999999	1205.999998	1235.000003	483.9999999	568.0000002	754.9999999	1056.666664	629.9999998	1228.000004	602.3333333	-0.746096602	0.21679023	-0.81088633
C7_01210C_A	314.9999999	642.9999999	556.0000001	1399.000003	883.0000002	955.0000001	1178.999998	1311	1470.999999	1120.000002	921.9999997	1377.999997	504.6666666	1079	1320.333329	1140.000001	1.096292161	1.387499491	1.175631121
C7_01220W_A	1406.999997	1576.999995	1675	2109.999995	1496	1485.000004	1885.999999	2063.000006	2569.999993	1952.999995	1798.999998	2233.999999	1552.999995	1697.000001	2173.000001	1995.333329	0.12792874	0.48463035	0.36157195
C7_01230C_A	2793.000003	1490.999998	2196.000002	1868	1776.000004	1591	4022.00001	4278.999989	3325.000011	8809.999977	7760.000016	10895.00003	2160.000004	1744.999999	3875.333327	9154.999996	-0.30780428	0.84328909	2.08352857
C7_01250W_A	47235.99999	61687.00019	59516.00011	40165.00011	12897.99996	10954.99997	6914.000008	7555	11379.00002	4165.999988	2820.999999	4203.999988	56146.33336	21339.33326	8615.999973	3730.333342	-1.39567671	-2.70410166	-3.91181535
C7_01260W_A	4	4	4	10	12	6.000000001	69.00000001	74.00000002	8.999999997	1	4	8.999999997	4	9.333333331	50.66666668	4.666666666	1.222392421	3.662965013	0.222392421
C7_01270C_A	377.9999999	650.9999999	596.9999999	1520.000002	1319.999996	1300.000002	1885.000002	1973.999994	1748.999995	1419.999996	1314.999996	1329.000001	541.9999999	1379.999998	1869.333329	1354.66667	1.348303509	1.786159089	1.321573149
C7_01280C_A	588.0000001	462.9999999	666	481.9999999	432	423	1253.000001	1184.000004	1253.999998	958.0000002	967.9999998	1201.000004	572.3333332	445.6666666	1230.333332	1042.333331	-0.360890574	1.104121697	0.864889177
C7_01290W_A	419.0000001	304.9999999	365.0000001	346.0000001	281	292	780.9999999	685.0000001	672.0000001	696.0000001	831.9999999	759.9999998	363	306.3333332	712.6666667	762.6666666	-0.244867188	0.973257899	1.071083098
C7_01300C_A	623	541.9999999	575.0000001	546	471.9999999	822.9999998	940.0000003	899.0000003	1789.999997	1517	1401	2085.999996	580	613.6666668	1209.666666	1667.999996	0.081402321	1.06048475	1.52399448
C7_01310C_A	1	1	1	1	2	1	5	5	3.000000001	1	3.000000001	1	1	1.333333333	4.333333332	1.666666666	0.415037499	2.115477217	0.736965594
C7_01320W_A	1355.999997	1462.000004	1470	2055.000002	1597.999997	1580.999997	2633.000007	2587.000002	2323.000002	4600.000013	4165.999988	4982.000013	1429.333334	1744.666669	2514.333334	4582.66668	0.28760902	0.81483352	1.68084495
C7_01330C_A	383	515.9999998	533.0000001	876.9999997	1026.000003	1027.000003	2130.000007	2112.000001	1511.000005	1441	1622.999995	2038.000005	477.3333332	976.6666669	1917.666661	1700.666663	1.032869173	2.006282974	1.833031404
C7_01340W_A	1253.000001	1231.000003	1310.000003	1574.999996	1355.999997	1206.999999	2245.999996	2176.999997	1940.999996	2411.000007	2545.999993	2979.000004	1264.666664	1379.333334	2121.333334	2645.333334	0.12521397	0.74621416	1.06469235
C7_01350C_A	385.9999999	510	561.9999999	606.9999999	604.9999999	677.0000002	1268.999997	1245.999997	1228.000004	1093.000003	1074.999997	1106	486.0000001	629.6666668	1247.666665	1091.333337	0.373631982	1.360204326	1.167063606
C7_01360C_A	61.00000002	82.99999998	82.00000002	239	205.0000001	254	556.0000001	483.0000001	396	372	488.0000001	461.9999999	75.33333335	232.6666667	478.3333334	440.6666667	1.626904264	2.666656059	2.548327499
C7_01370W_A	44.99999999	109	80.00000001	352.0000001	333.9999999	405.9999999	806.9999998	700.0000001	470.0000001	376.0000001	582.9999999	697.9999999	78.00000001	363.9999999	659	552.3333331	2.222392421	3.078732436	2.823993167
C7_01380W_A	8	4	10	5	4	5	22.00000001	16	15	3.000000001	8.999999997	4	7.333333334	4.666666666	17.66666667	5.333333332	-0.652076697	1.268488836	-0.459431619
C7_01390W_A	20	25	42.00000001	49	35	44.99999999	82.99999998	70	84.00000001	51	84.00000001	88.00000002	29	43.00000001	78.99999999	74.33333332	0.56828376	1.445799753	1.357956404
C7_01400C_A	500.0000001	549	663.9999998	771.9999999	715.9999999	633.9999999	889.0000001	956	725	1147.000003	1234.000001	1419.999996	570.9999999	707.3333332	856.6666665	1267.000001	0.308899505	0.585243208	1.149853875
C7_01410C_A	348.9999999	350	379	520	411.9999999	396	311	323.0000001	354	757	631.9999999	834.9999998	359.3333333	442.6666668	329.3333334	741.3333333	0.300897969	-0.125774231	1.04479961
C7_01420W_A	451.9999999	726	669.9999998	1218.999999	1004	1244	1286.000002	1163.999998	1427.999996	1061.999999	1294.999998	1441	616.0000001	1155.666666	1292.666669	1266.000001	0.907723079	1.069348049	1.039275149
C7_01430C_A	29	131	172	1790.999998	1392.999997	1647	1493	1525.000003	2375.999999	1479.999999	1621.000005	2026.000002	110.6666667	1610.333337	1798.000006	1708.999998	3.863066709	4.022100379	3.948859749
C7_01440W_A	200	363	428.9999999	450.9999999	431	650.9999999	822.9999998	763.0000001	1016	556.0000001	731	923.0000002	330.6666667	511	867.3333333	736.6666669	0.627945671	1.391208936	1.155634344
C7_01450C_A	5145.999994	9463	8259.000027	13642.00003	10983.00001	11414.00002	7217.000003	7280.99998	8714.000013	4929.999996	4182.999992	4520.000008	7622.666644	12013.00001	7737.333318	4544.333342	0.65622879	0.02154064	-0.74622712
C7_01460C_A	152	314	279	656.0000002	552.9999999	541.9999999	1085.000002	1060.999999	773.9999999	1604.999998	1803.999996	1823.999995	248.3333332	583.6666668	973.3333333	1744.33333	1.232866754	1.970656039	2.812325926
C7_01470C_A	4360.000001	4227.999996	4443.000012	5640.999994	5603.000011	7108.00002	6481.000006	6439.999987	13958.00003	6694.00002	7556.000019	7749.000006	4343.666668	6117.333353	8959.66664	7332.999979	0.4939895	1.04453166	0.75549014
C7_01480W_A	966.9999997	982.9999998	1069.000002	1231.000003	1694.000001	1647	2719.000007	2672.999996	2172.000003	1629.000002	1716.999995	1943.000006	1006.333333	1524.000003	2521.333338	1763.000001	0.59875465	1.32507861	0.80892422
C7_01490W_A	1038.000001	1010	923.9999997	1958.999997	1435.999996	1367.999995	719.9999998	810.9999999	907.9999998	796.0000003	740.9999998	717.0000001	990.6666668	1587.666664	813	751.3333331	0.68043643	-0.285144358	-0.398946601
C7_01500W_A	250.0000001	195	240.0000001	254	203	218	409	398.9999999	299.9999999	554	844.0000002	688.0000001	228.3333333	225	369.3333332	695.3333334	-0.021216486	0.693781988	1.606563265
C7_01510W_A	730.0000001	737	982.9999998	629.9999998	914.9999999	719.9999998	513.0000001	516.9999999	563.9999998	1087.000004	606.9999999	810.0000001	816.6666666	754.9999999	531.3333332	834.6666665	-0.113270699	-0.62013012	0.031452813
C7_01520W_A	618.9999999	1578	1290	1154.000001	806.9999998	793.0000002	1402.999996	1569.999996	1804.999998	1766.000003	1449.999995	1835.000003	1162.333335	917.9999997	1592.666669	1683.666672	-0.340457807	0.45442049	0.53458268
C7_01530W_A	1	3.000000001	2	1	4	2	3.000000001	6.000000001	4	1	1	1	2	2.333333333	4.333333332	1	0.222392421	1.115477217	-1
C7_01540W_A	47.00000001	10	17.99999999	15	17	14	18.99999999	16	12	6.000000001	6.000000001	6.000000001	25	15.33333333	15.66666667	6.000000001	-0.705256735	-0.674229839	-2.058893689
C7_01550W_A	867.9999997	1682.999998	1333.000005	3144.999996	5021.000001	4537.999988	7110.999995	7194.999992	4240.000002	7497.999999	7562.999981	8552.000014	1294.666671	4234.666677	6182.000005	7870.999975	1.70966771	2.25549295	2.60396623
C7_01560C_A	621.9999999	705.9999999	685.0000001	33.99999999	60.00000002	56.99999999	200	177	172	75.99999998	73.00000001	66.99999998	670.9999999	50.33333335	183	71.99999998	-3.736726717	-1.874469118	-3.220243955
C7_01570C_A	333	400.9999999	385.9999999	220.9999999	187	187	374	405.0000001	314	228	256	251.9999999	373.3333333	198.3333333	364.3333333	245.3333333	-0.912537159	-0.035205331	-0.605721061
C7_01580W_A	797.9999999	1305.999999	1161.000003	2453.000002	3068.000005	3037.999991	3111.000001	3230.000001	2534.999997	3664.999992	3663.000011	4893.000009	1088.333337	2852.999997	2958.666664	4073.666669	1.39035925	1.44282667	1.90420744
C7_01590C_A	656.0000002	737	876.0000002	825.9999998	694.0000002	743.9999999	1274.999998	1271.000004	1256.999996	738	906	735.0000001	756.3333334	754.6666666	1267.666664	793.0000002	-0.003182651	0.745081327	0.068298663
C7_01600W_A	1324.999996	3190.999993	3128.000006	2981	2289.999995	2235.000006	1858.999994	1916.000006	2816.000003	648.0000001	810.0000001	635.9999999	2547.999996	2501.999993	2196.999993	697.9999999	-0.02628349	-0.21383041	-1.868066334
C7_01610W_A	936.0000003	978	1163.999998	609.9999998	325	348.9999999	396	455	953.0000001	376.0000001	446.9999999	446.9999999	1026.000003	427.9999999	601.3333331	423.3333334	-1.261348034	-0.770793898	-1.277164739
