SC5314	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Mean
C1_13780W_A	11.68854173	11.08989181	11.84966573	12.69334175	12.26346483	11.13057056	10.67478076	12.02178969	10.51766939	12.73421566
C1_13790C_A	9.627533884	9.79820176	9.402301511	10.14040376	9.686500527	9.532680601	9.548821908	9.887220615	9.236014192	9.983468692
C1_13800C_A	7.118941073	7.429057969	7.247927513	9.198854259	8.173260714	7.599912842	7.607330314	8.515699838	7.202940058	9.142107057
C1_13810W_A	10.51734132	10.80547519	9.902375114	10.22198983	10.31477204	10.66681576	12.02882696	9.79224803	9.321928095	10.99694419
C1_13820C_A	9.037089319	6.969626351	8.271463028	8.389452089	7.765976681	8.659401334	7.048032696	7.398031074	6.007494536	8.569855608
C1_13830C_A	12.36258312	12.56668833	11.32324245	11.27476639	12.39240687	12.72763688	12.64287903	11.2788366	12.15860969	11.86830813
C1_13840W_A	10.79279029	11.06339508	10.52812848	11.29232163	11.89456517	10.99812027	11.56573679	11.2405926	11.0409746	11.62920481
C1_13850C_A	2.415037499	3.841302254	4.922832139	6.768184325	4.544320516	3.169925001	4.564784619	5.727920455	3.321928095	5.309855263
C1_13860C_A	15.09155935	15.35447898	15.03056656	15.24587452	15.40540742	15.25855377	15.7587524	15.25002695	15.49354276	14.8682599
C1_13870W_A	11.5561867	10.65582883	9.913388107	10.97489254	11.26033152	11.90061527	12.23381937	10.87318775	10.25620869	10.15312976
C1_13880C_A	10.52258153	9.892289823	10.27418399	10.75877842	9.917372079	10.40336715	10.51898093	10.11113567	9.19064778	10.3312902
C1_13900C_A	11.7368247	11.10328781	11.69957245	11.33166342	10.47843258	11.64220215	10.94373578	11.34318572	10.79982125	10.29385478
C1_13910C_A	9.438098749	9.6783067	9.036173613	10.08702077	9.82336724	9.495855027	9.92530717	10.08259261	9.353881957	9.420662048
C1_13920W_A	9.948367232	10.94471206	9.896332404	10.76708093	10.88671271	10.33539035	11.11352514	10.58902687	10.9677066	11.01518272
C1_13930W_A	10.37141366	10.39589111	11.00281502	11.2911707	11.59214554	10.66770293	10.8522694	10.60887083	11.31514956	11.22961996
C1_13940W_A	13.60250556	12.91345044	12.83907253	12.67367714	12.80869609	13.7387608	13.64689617	12.78865037	13.03066714	12.28386005
C1_13950C_A	5.874469118	6.254241287	7.199672345	8.212699025	8.087462841	6.333900737	7.395177077	8.159871337	7.294620749	8.780266349
C1_13960W_A	10.40868356	10.35901741	11.54962425	11.97871046	11.28655776	10.41256985	10.77011325	11.86573327	10.84261225	11.65716956
C1_13970C_A	9.382263758	9.236014192	9.464205372	9.727353246	9.350939182	9.496520937	9.500509958	9.407975835	8.696967526	9.487170104
C4_03820C_A	6.992466327	6.209453366	5.930737338	8.243173983	7.470319935	6.415037499	7.651051691	7.988684687	8.673603533	7.26052755
C4_03830W_A	10.23880278	8.524868153	9.35974956	9.372139541	7.944468053	9.827607346	8.379378367	9.009362103	7.483815777	8.153129759
C4_03840C_A	9.445014846	8.447083226	9.392317423	9.92283214	9.095397023	9.406559345	8.491853096	9.673603533	8.578687175	9.391601623
CR_04180C_A	11.11807589	11.40974449	11.76210516	12.38010026	12.26522434	11.37829486	11.48011699	12.13848514	11.40974449	12.76970012
C4_03850W_A	10.85979359	10.65553072	11.06967353	11.27243539	11.44535978	10.98892133	10.81003601	11.0253703	11.11915729	11.55762325
C4_03860C_A	8.033423002	8.440177061	8.490516649	9.488509653	9.162391329	8.217553865	8.473029222	8.654636029	8.550746785	9.824958741
C4_03870C_A	5.977279923	6.222392421	6.037089319	7.342815461	7.073248982	5.92283214	5.815916935	6.392317423	6.108524457	7.389452089
C4_03880W_A	7.725650281	7.996238081	8.370687407	9.124121312	9.05166212	8.106781019	8.110265791	9.039832955	8.448460501	9.302258115
C4_03890W_A	8.105035471	9.206200388	7.584962501	9.180737987	9.077705875	8.300733872	9.468963381	8.860052345	8.459431619	10.24039384
C4_03900C_A	9.232021122	9.045304624	9.456012098	10.22480563	8.717676423	8.762658868	8.336878436	9.832362617	8.255815423	8.990576746
C1_07790C_A	10.05120894	7.92283214	9.503163192	10.41292263	8.302258115	9.882133533	7.984893107	10.36230915	7.557144556	8.72337653
CR_04190W_A	11.93712857	12.42547819	12.5491429	13.29954194	13.40043475	12.21067134	12.61960864	13.2530103	12.77114554	13.76424961
