gene_name	wt_dox_no_HS_Rep.A	wt_dox_no_HS_Rep.B	wt_dox_no_HS_Rep.C	wt_dox_10_HS_Rep.A	wt_dox_10_HS_Rep.B	wt_dox_10_HS_Rep.C	wt_dox_30_HS_Rep.A	wt_dox_30_HS_Rep.B	wt_dox_30_HS_Rep.C	wt_dox_60_HS_Rep.A	wt_dox_60_HS_Rep.B	wt_dox_60_HS_Rep.C	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean
C1_13840W_A	1647.000000312396	2204.0000021828387	2568.999991273138	800.0000001249188	1843.000005581633	1787.0000011872621	2167.9999979654776	2322.000005044831	3033.9999994804875	4360.000001014562	2965.999994953588	4096	2139.9999980887083	1476.666663881364	2507.9999951288987	3807.333337199025
C1_13850C_A	26.999999996940687	10.000000000780746	6.0000000011596795	6.0000000011596795	57.99999999487128	26.999999996940687	123.999999966748	122.00000003696408	81.0000000064777	10.000000000780746	17.999999994481428	42.000000006440764	14.333333333522678	30.333333323292823	109.00000001685389	23.333333329713554
C1_13860C_A	46370.00012014755	37955.99996741487	41357.999979955035	34886.999944293566	35558.0000004471	29964.00006959082	32591.000023154415	34649.99995407993	49328.9999729554	50121.000043797445	39942.99991868961	40135.99992309682	41894.6668064752	33469.66660957513	38856.666568085	43399.999933240586
C1_13870W_A	1267.9999998774742	1825.000001701742	1746.9999964680137	2476.000001348504	164.99999997188624	251.99999991267808	1098.9999992769053	1148.0000026452653	3790.9999969238734	3926.9999927420977	1514.0000000149737	1918.0000066231776	1613.3333317221193	964.3333331940041	2012.6666655611148	2453.000002452494
C1_13880C_A	643.9999999488365	1117.9999977967025	1089.0000009685261	1311.9999958002727	1457.9999956271597	944.9999999289722	1847.9999981861204	1903.0000049147848	1447.0000034786242	1042.9999981783292	905.0000000184627	953.00000005949	950.3333331905253	1238.3333292949783	1732.6666693676473	966.9999996803859
C1_13900C_A	1719.0000006219004	2631.999993185562	2249.0000065819104	3508.999994157322	3295.000000238865	3173.9999937624593	2491.9999947765723	2574.0000031745535	2666.0000090752374	1455.0000022231557	1299.000004098719	1526.0000033482522	2200.0000024215447	3325.999992421505	2577.333330671349	1426.6666661056167
C1_13910C_A	932.0000002233393	681.9999999885732	844.0000001713016	447.99999998211223	489.9999999991271	636.9999998868345	921.9999997256182	924.9999997411791	1415.9999999185384	861.9999999467648	776.9999997804172	1079.0000003829148	819.33333353125	525.0000001624882	1087.6666656332725	905.9999999709645
C1_13920W_A	2552.99999574035	1371.0000040110212	1988.9999988505426	903.9999997398413	1045.0000021960175	909.9999999457178	1829.999995977202	1717.9999986442863	1680.000002717771	1880.999995406423	1796.9999956280665	2002.0000016152696	1970.9999985743978	953.00000005949	1742.6666726165688	1893.3333285158105
C1_13930W_A	1140.0000007490164	1387.9999975194849	1514.0000000149737	1772.0000017748096	2441.999991557994	1942.000006166188	2557.000008433593	2820.0000053046842	2140.9999994278924	3470.0000060957364	2518.0000039811034	3274.0000080014306	1347.3333373877883	2052.000006248254	2506.000001177947	3087.333331230728
C1_13940W_A	7011.00000241048	8475.999986063227	7657.99997425476	9080.999996546412	6287.000009681068	6613.999999123843	5207.999988572338	5639.00000932851	8754.000008258	9187.9999912245	6232.000008372992	6104.000013393009	7714.999992202635	7327.333320242374	6533.666674904746	7174.666663018311
C1_13950C_A	84.00000001288153	64	81.0000000064777	178.99999996721286	125.99999995633904	135.99999997640097	244.9999999995634	245.9999999421548	398.99999993850685	287.0000000645166	256.9999999654628	271.9999999528021	76.33333331345032	147.00000001667323	296.66666663939867	271.9999999528021
C1_13960W_A	1204.9999990667634	1329.000000666783	1406.0000009038752	3583.000004443719	2700.9999915583535	2709.0000033761407	4194.000011347434	4064.0000090926465	3849.9999987467463	2354.0000080956133	2456.000007881666	2684.0000070692063	1313.3333300355757	2997.666661174545	4036.000002500004	2497.999997215853
C1_13970C_A	575.9999998234052	620.9999999050954	612.000000130379	596.9999998904216	863.9999999021026	658.0000001207541	826.9999999018193	871.0000002421779	844.9999999006955	742.0000001950265	592.0000001522579	625.0000001951863	603.0000000417616	706.3333335041948	847.6666666849102	653.0000002052966
C1_13980C_A	416.99999987147334	255.0000000249472	342.999999958914	297.0000000410155	317.999999937322	289.9999999969981	748.9999997618319	818.0000000330278	719.9999998354705	374.9999999003834	346.0000000871238	443.99999989225216	338.3333332509288	301.6666666145149	762.3333334968671	388.3333333816535
C1_13990W_A	465.00000000148486	381.9999999905345	484.9999999749584	403.00000013185695	280.99999995696913	271.9999999528021	445.000000045108	445.000000045108	631.9999999224165	575.9999998234052	518.999999871255	506.99999999882607	443.99999989225216	318.6666666093272	507.33333340985774	534.0000001156488
C1_14000C_A	2209.999993445506	1585.0000054637812	2123.9999988160885	1410.0000026523421	2426.999994698949	2051.0000050044	5667.99998853581	5885.000000302646	3958.00000810008	2576.9999966782734	2784.0000080108	3050.000005628553	1972.9999990104768	1962.6666730118468	5170.33333586996	2803.6666678084953
C1_14010W_A	3.0000000005798393	1	1	3.0000000005798393	5.000000000390373	2	10.000000000780746	10.000000000780746	8	1	1	2	1.6666666664746577	3.3333333329493153	9.333333331156725	1.333333333075627
C1_14020W_A	6.0000000011596795	1	8.999999997240714	10.000000000780746	8	12.000000002319359	51.99999999491453	61.00000001848204	45.999999998182155	2	6.0000000011596795	6.0000000011596795	5.333333332302507	10.000000000780746	53.00000001604665	4.666666665578362
C1_14030W_A	1045.0000021960175	378.9999999550539	483.0000000549814	748.9999997618319	782.9999998420418	696.000000072978	2987.999994223145	3164.999990532163	2882.999997012664	2259.000007213598	2228.999998053651	3112.999996829853	635.6666668466119	742.6666668628609	3011.9999902461373	2533.6666696444854
C1_14040W_A	2089.0000042467827	1137.0000008730292	1624.000003168566	1615.0000004687208	1577.9999999852798	1426.0000035149608	1729.9999969732542	1795.0000016045024	1544.999997010294	1352.0000034840957	1191.0000017632553	1362.0000018767369	1616.6666652763572	1539.6666665301896	1689.999998629972	1301.6666645841137
C1_14050C_A	1231.9999994065838	718.0000000880635	949.9999998562448	1220.999995778997	1355.0000035302874	1253.9999975644494	2453.000002452494	2536.9999928535044	2522.9999982926356	1820.0000061990731	1648.000003217628	1746.9999964680137	966.6666665452946	1276.6666701256665	2504.3333399188296	1738.3333373264745
