gene_name	Control_Mean	Treat1_Mean	Treat2_Mean	Treat3_Mean
C1_10550C_A	176.66666669980265	187.00000001456436	345.66666664460683	258.66666676241493
C1_10560C_A	591.6666668478335	336.66666668580183	724.3333331023179	545.6666667600902
C1_10570C_A	10.333333335727627	12.333333334121587	78.0000000074476	22.000000005530943
C1_10580C_A	32	22.000000005530943	76.66666665480452	345.66666664460683
C1_10590W_A	3.0000000005798393	12.333333334121587	45.999999998182155	17.666666668600943
C1_10600C_A	2	1.333333333075627	1.6666666664746577	1
C1_10610W_A	773.9999999225241	1137.333332862589	713.666666832703	206.33333326280925
C1_10620W_A	10556.666694513506	6658.000022427561	4298.999985150559	2487.3333262721185
C1_10630C_A	359.00000004403176	510.00000004989414	1494.6666645073117	711.6666667718866
C1_10640C_A	536.3333333324821	1558.6666625498572	1102.0000010914193	773.0000000402673
C1_10650W_A	269.9999999904869	680.9999999943019	527.3333334241155	217.33333325651677
C1_10660W_A	2460.333326313464	4917.0000006113805	5185.666674704898	3298.6666569372833
C1_10670C_A	2741.6666613668713	4378.666663459672	3979.3333395983236	1565.6666693400073
C1_10680C_A	3665.999998628108	2016.3333268649465	3673.6666593758164	4291.999997749357
C1_10690W_A	966.9999996803859	985.3333330430697	1560.3333344248272	994.6666669878942
C1_10700C_A	3255.3333290093274	2287.6666688510695	5866.000017252226	4443.333335627293
C1_10710C_A	1888.333333350714	1104.666669346378	727.0000000405174	882.000000270512
C1_10720C_A	1679.666666377236	1959.6666641712607	2231.333325653677	1535.3333279359808
C1_10730W_A	1070.6666690443328	707.6666665763026	2932.0000037926684	985.9999997417195
C1_10740C_A	421.33333320017584	3686.333343773963	23770.33326738682	69480.66684407822
C1_10750C_A	710.3333333030296	568.0000001950107	672.3333333837552	871.0000002421779
C1_10760W_A	510.00000004989414	638.3333332929974	898.6666670025992	659.999999887545
C1_10770W_A	505.000000126309	508.3333334684753	1227.6666656637478	909.6666669485246
C1_10780C_A	1589.0000007175486	1837.3333308077265	5128.333324447497	2489.6666629376373
C1_10790W_A	22090.333363417383	30378.999993854886	73995.99976059947	48678.6665993713
C1_10800C_A	1744.333329834791	5243.3333348529	9319.333341211417	4854.666650772572
C1_10810W_A	94.33333332609328	90.33333335633057	206.33333326280925	106.99999997024823
C1_10820C_A	5820.999990930088	4440.666679430427	5518.9999992666735	3038.66666973306
C1_10830W_A	1055.3333337605118	1125.000003037752	2043.0000017938758	1091.6666662194516
C1_10840C_A	8848.66667710737	2646.3333328952212	2182.6666730919956	1340.0000043235195
C1_10850W_A	4.666666665578362	16	20.666666671455253	2.333333332789181
