orf19.xxx	wt_no_dox_no_HS_Rep.A	wt_no_dox_no_HS_Rep.B	wt_no_dox_no_HS_Rep.C	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Rep.A	wt_dox_no_HS_Rep.B	wt_dox_no_HS_Rep.C	wt_dox_no_HS_Mean	wt_dox_10_HS_Rep.A	wt_dox_10_HS_Rep.B	wt_dox_10_HS_Rep.C	wt_dox_10_HS_Mean	wt_dox_30_HS_Rep.A	wt_dox_30_HS_Rep.B	wt_dox_30_HS_Rep.C	wt_dox_30_HS_Mean	wt_dox_60_HS_Rep.A	wt_dox_60_HS_Rep.B	wt_dox_60_HS_Rep.C	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Rep.A	tet90_no_dox_no_HS_Rep.B	tet90_no_dox_no_HS_Rep.C	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Rep.A	tet90_dox_no_HS_Rep.B	tet90_dox_no_HS_Rep.C	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Rep.A	tet90_dox_10_HS_Rep.B	tet90_dox_10_HS_Rep.C	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Rep.A	tet90_dox_30_HS_Rep.B	tet90_dox_30_HS_Rep.C	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Rep.A	tet90_dox_60_HS_Rep.B	tet90_dox_60_HS_Rep.C	tet90_dox_60_HS_Mean
orf19.2241	8.569855608	7.599912842	8.396604781	8.246344743	9.364134655	8.422064766	8.965784285	8.967706597	9.13442632	8.640244936	8.942514505	8.919856487	11.71553306	11.78790256	12.88130519	12.2332202	14.12541347	13.58214198	13.98735285	13.91615938	10.23840474	9.661778098	10.14847658	10.03754695	12.78953364	12.36877926	12.76611476	12.65396464	11.43201985	11.17055104	11.41151099	11.34281546	12.97513146	12.69501074	13.31769525	13.01848999	13.91858376	13.80745555	13.6340169	13.79140033
orf19.2242	10.30947635	9.005624549	9.696967526	9.766528909	11.99506047	10.52943055	11.37991982	11.42083746	8.519636253	8.022367813	7.960001932	8.189824559	9.6794801	9.854868383	10.31628153	9.975847968	9.73978061	9.665335917	9.59058705	9.66651991	10.56414949	9.612868497	10.70130646	10.36705066	12.25915477	11.68650053	12.37856581	12.13816512	9.695228291	9.118941073	9.245552706	9.375039431	11.08547246	10.57648435	11.17741954	10.96962635	11.00070427	11.26795708	10.45840661	10.94690627
orf19.2244	10.66888498	10.16741815	10.80735492	10.57301595	10.86727874	10.3376219	10.73893668	10.66503977	10.94544384	11.21916852	11.29232163	11.15987134	14.09002969	14.13643045	13.9794252	14.07012094	12.75926405	12.77313921	12.52869828	12.69130733	10.91064273	10.73047014	10.4655664	10.71367291	11.57127862	11.44914865	11.35920049	11.46250227	13.81408172	14.05248314	13.96099742	13.94584006	11.39499851	11.15545073	11.1959873	11.25266543	14.0304085	13.86302471	13.49835061	13.81394816
orf19.2245	10.2632692	9.812177306	10.29462075	10.13955135	10.25502857	10.2227949	10.36084708	10.28077077	9.505811554	9.169925001	9.355351096	9.350202549	10.06474276	10.01541505	10.28655776	10.12713455	10.70217269	10.40514146	10.50183718	10.54174197	10.50581155	10.28308835	10.56985561	10.45806478	10.42416629	10.42311591	10.31741261	10.38909352	10.45738088	9.813781191	10.1176431	10.15355203	9.537218401	9.596189756	9.779719355	9.641449692	11.39339046	10.67154107	11.03823313	11.06429368
orf19.2246	10.49984589	10.57837269	10.86108691	10.65493432	10.17617315	10.45532722	10.34096276	10.32867493	10.36850646	9.499845887	9.59058705	9.874981348	10.30263892	10.37612539	10.96072599	10.57774352	10.81378119	10.31514956	10.32979634	10.50548077	10.79603961	10.82972274	11.09011242	10.91139199	10.58871464	10.9708249	10.46250227	10.69058006	11.58918297	10.63753055	11.00351791	11.13078504	10.1711768	10.32755264	10.21188829	10.23840474	11.11569395	11.03204573	10.49685378	10.90638957
orf19.2247	5.044394119	3.807354922	5.523561956	4.95419631	3.321928095	4	4.321928095	3.938599455	2.807354922	5.754887502	5.321928095	5.073248982	6.189824559	5.930737338	5.247927513	5.841302254	3.169925001	3	3.459431619	3.222392421	3.807354922	3.321928095	4.523561956	3.969626351	2.584962501	3.169925001	3.459431619	3.115477217	3.700439718	5.044394119	5.044394119	4.718818247	2	3.700439718	3.321928095	3.169925001	3.169925001	3.700439718	4.64385619	3.969626351
orf19.2248	9.082149041	8.447083226	8.836050355	8.81164228	11.18363538	9.68474862	10.35314683	10.53689475	11.24019505	10.86805085	10.77313921	10.97489254	10.72792045	10.78790256	11.05460432	10.86392813	12.39473063	12.76155123	12.68145805	12.62098344	9.981567282	9.424166289	10.07012094	9.8522694	11.2644426	10.6794801	11.22701419	11.08059549	10.48784003	10.78381676	10.74735383	10.67889352	13.20518233	13.17788666	13.24406646	13.20930105	12.31458324	12.68825031	12.04131692	12.37259303
orf19.2249	10.03617361	9.946906274	10.37937837	10.13314221	9.189824559	9.853309555	9.909893084	9.685916795	9.864186145	9.758223215	9.5980525	9.744273241	9.906890596	10.00422047	10.16490693	10.02928723	8.584962501	8.569855608	7.930737338	8.392317423	10.45635442	10.55458885	10.33650656	10.45189795	9.826548487	10.51471405	9.948367232	10.12885358	10.27844946	10.15355203	10.22761594	10.22078137	9.503825738	9.754887502	9.350939182	9.546251404	7.044394119	7.820178962	7.087462841	7.363404731
orf19.225	10.11243951	9.194756854	9.958552715	9.807354922	10.4429435	10.169925	10.41256985	10.34688304	9.092757141	8.839203788	8.744833837	8.899860394	9.857980995	9.911391988	10.20579325	10	10.15355203	9.949826711	9.941047606	10.01820018	10.49984589	9.842350343	10.2467406	10.2211843	11.03479896	10.95346896	11.04028972	11.01006182	10.15228484	9.394462695	9.361943774	9.68474862	10.15481811	10.02097994	10.169925	10.11677714	10.17866485	10.54882191	9.758223215	10.19762626
orf19.2250	12.37395266	12.13249973	12.71381608	12.4266142	11.76279726	11.95019135	12.18394547	11.97596735	11.64790807	11.12734954	11.01402047	11.2904029	10.36632221	10.45532722	10.94104761	10.61040971	9.689997971	9.105908509	8.891783703	9.269905882	12.56462586	12.63049466	12.37123213	12.52625469	11.96217303	12.46633142	11.90086681	12.13282101	11.65150022	10.70217269	10.5943246	11.06541613	10.81297947	11.42416629	10.94617524	11.08569375	7.721099189	7.46760555	7.348728154	7.520946008
